Departamento;Total;Hombres;Mujeres
Amazonas;46950;24294;22656
Antioquia;5601507;2708222;2893285
Arauca;153028;78152;74876
Atlántico;2112001;1026477;1085524
Bolívar;1836640;918074;918566
Boyacá;1210982;602851;608131
Córdoba;1462909;736874;726035
Caldas;898490;438465;460025
Caquetá;337932;171351;166581
Casanare;281294;144391;136903
Cauca;1182022;589221;592801
Cesar;878437;438103;440334
Chocó;388476;191984;196492
Cundinamarca;9007373;4353782;4653591
Guainía;18797;9704;9093
Guaviare;56758;29137;27621
Huila;1001476;501619;499857
La Guajira;655943;324424;331519
Magdalena;1136819;573639;563180
Meta;713772;358589;355183
Nariño;1498234;741925;756309
Norte de Santander;1208336;597865;610471
Putumayo;237197;120267;116930
Quindío;518691;253032;265659
Risaralda;859666;418236;441430
San Andrés y Providencia;59573;29242;30331
Santander;1913444;939672;973772
Sucre;762263;386125;376138
Tolima;1312304;651970;660334
Valle del Cauca;4052535;1944994;2107541
Vaupés;19943;10130;9813
Vichada;44592;23306;21286
